Name,IATA
1Time Airline,1T
40-Mile Air,Q5
Ansett Australia,AN
Abacus International,1B
Abelag Aviation,W9
Aigle Azur,ZI
Aloha Airlines,AQ
American Airlines,AA
Asiana Airlines,OZ
Askari Aviation,4K
Afriqiyah Airways,8U
Afrinat International Airlines,Q9
Allegiant Air,G4
Aban Air,K5
ABSA - Aerolinhas Brasileiras,M3
Antrak Air,4
Airborne Express,GB
ABX Air,GB
Astral Aviation,8V
Aero Asia International,E4
Air Togo,YT
Advance Leasing Company,4G
Aztec Worldwide Airlines,7A
Air Tindi,8T
Ada Air,ZY
ADC Airlines,Z7
Adria Airways,JP
Air Europa,UX
Aero Benin,EM
Aegean Airlines,A3
Air Atlantique,KI
Air Europe,PE
Alaska Central Express,KO
Astraeus,5W
Aerosvit Airlines,VV
Air Italy,I9
American Falcon,WK
Alliance Airlines,QQ
Ariana Afghan Airlines,FG
Aeroflot Russian Airlines,SU
Air Bosna,JA
Air France,AF
Air Caledonie International,SB
Air Gabon,GN
Air Salone,2O
Air Cargo Carriers,2Q
Air Senegal International,V7
Air Namibia,SW
Air Service Gabon,G8
Aerolitoral,5D
Amadeus Global Travel Distribution,1A
Air Glaciers,7T
Aeroper,PL
Atlas Blue,8A
Air Alpha Greenland,GD
Air Hong Kong,LD
Aeromist-Kharkiv,HT
Azerbaijan Airlines,J2
Avies,U3
Airbus Industrie,AP
Alpine Air Express,5A
Airblue,ED
Air Berlin,AB
Air Contractors,AG
Air India Limited,AI
Air Bourbon,ZB
Air Atlanta Icelandic,CC
Air Srpska,RB
Air Tahiti Nui,TN
Aero Services Executive,W4
Arkia Israel Airlines,IZ
Air Jamaica,JM
Air One,AP
Air Sahara,S2
Air Malta,KM
Amerijet International,M6
Air Japan,NQ
Air Kiribati,4A
Air Nippon Network Co. Ltd.,EH
America West Airlines,HP
Air Wisconsin,ZW
Tatarstan Airlines,U9
Air Libert,VD
Air Lithuania,TT
Air Malawi,QM
Air Sicilia,BM
Air Macau,NX
Air Midwest,ZV
Air Seychelles,HM
AeroMéxico,AM
All Nippon Airways,NH
Air Nostrum,YW
Air Niugini,PX
Air Arabia,G9
Air Canada,AC
Air Baltic,BT
Air Nippon,EL
Airnorth,TL
Air North Charter - Canada,4N
AOM French Airlines,IW
Air New Zealand,NZ
AVCOM,J6
Aero VIP,2D
Air Vegas,6V
Alitalia Express,XM
Asia Overnight Express,OE
Aero Flight,GV
Arrow Air,JW
Arik Air,W3
Aerocondor,2B
Aires,4C
Aerolineas Argentinas,AR
Air Armenia,QN
Alaska Airlines,AS
Air Sinai,4D
Airstars,PL
Atlantic Southeast Airlines,EV
Astrakhan Airlines,OB
Air Tanzania,TC
Air Burkina,2J
Aero-Tropics Air Services,HC
Airlines Of Tasmania,FO
